step,token_id,rank_fp16,rank_bf16,cum_diff,interval_divergence,width,mid_fp16,mid_bf16
0,44220,0,0,0.0010833740234375,0.0,65536.0,32768.0,32768.0
1,372,0,0,0.0006561279296875,35.5,59903.0,29951.5,29916.0
2,24231,0,0,4.57763671875e-05,15.844734191894531,59858.211685180664,29929.105842590332,29913.261108398438
3,374,0,0,0.0016326904296875,14.154824815923348,58647.0912522194,29323.5456261097,29309.390801293775
4,264,0,0,0.0019073486328125,61.47558245397241,56441.20319166152,28220.60159583076,28159.12601337679
5,943,0,0,0.004425048828125,112.4598382010932,53939.34626917958,26969.67313458979,26857.213296388698
6,315,0,0,7.62939453125e-05,225.68784731853316,51245.50654232679,25622.753271163394,25397.06542384486
7,24231,0,0,0.0,223.5814625584344,51207.191267965,25603.5956339825,25380.014171424064
8,429,0,0,0.001373291015625,222.1042473898583,50868.86250485726,25434.43125242863,25212.32700503877
9,5711,0,0,0.0101318359375,208.25125477189192,39766.13714368968,19883.06857184484,19674.81731707295
10,30128,0,0,4.57763671875e-05,402.7854733703198,38848.0743156501,19424.03715782505,19021.251684454728
11,1448,0,0,0.0,292.90494243953674,28166.276537817837,14083.138268908919,13790.233326469383
12,4737,0,0,1.52587890625e-05,288.2880783413305,27722.310417463137,13861.155208731569,13572.867130390237
13,44883,0,0,0.00030517578125,287.8610264759824,27701.159973113874,13850.579986556937,13562.718960080954
14,43147,0,0,6.103515625e-05,291.40706438838714,27644.097341943674,13822.048670971837,13530.64160658345
15,11,0,0,0.0052032470703125,288.53137433850037,27449.640419418098,13724.820209709049,13436.28883537055
16,1741,0,0,0.0001678466796875,352.6322208768081,26896.76069905628,13448.38034952814,13095.748128651334
17,438,0,0,0.0,352.796378743076,26741.62496382308,13370.81248191154,13018.016103168464
18,2256,0,0,6.103515625e-05,352.5272164668133,26721.222723097508,13360.611361548754,13008.084145081939
19,3487,0,0,0.0,352.14313559788775,26631.92908637329,13315.964543186645,12963.821407588757
20,323,0,0,3.0517578125e-05,351.8476053174635,26609.578682019186,13304.789341009593,12952.94173569213
21,1197,0,0,0.0,349.38134417606295,26393.164719654742,13196.582359827371,12847.201015651308
22,524,0,0,1.52587890625e-05,349.08813168323945,26371.014694331545,13185.507347165772,12836.419215482532
23,986,0,0,3.0517578125e-05,348.98038015292843,26348.078478548206,13174.039239274103,12825.058859121174
24,11,0,0,3.0517578125e-05,349.09486895221875,26327.172410419473,13163.586205209736,12814.491336257519
25,311,0,0,0.0001678466796875,348.5004846735987,26252.854067891283,13126.427033945642,12777.926549272042
26,2736,0,0,0.0,350.17194232902534,26217.20184602784,13108.60092301392,12758.428980684896
27,7525,0,0,0.000396728515625,349.47732635455674,26165.196288166764,13082.598144083382,12733.120817728826
28,389,0,0,0.0,353.67036974624784,26100.917165205417,13050.458582602709,12696.788212856462
29,821,0,0,0.0043792724609375,353.04436628417255,26054.718032039465,13027.359016019733,12674.314649735561
30,382,1,1,0.0010223388671875,405.7258399252431,25846.394786055753,12923.197393027876,12517.471553102632
31,641,0,0,0.02191162109375,774.5591193344443,171.55733843893816,25486.518760020048,24711.959640685604
32,264,0,0,0.1174163818359375,775.6225729221082,123.32777906090172,25462.40398033103,24686.781407408922
33,28824,0,0,0.000213623046875,766.7840407543589,56.3778218518914,25428.929001726523,24662.144960972164
34,6366,0,0,0.0020751953125,768.5105719148776,37.30333692876536,25419.391759264963,24650.881187350085
35,11,0,0,1.52587890625e-05,768.5732910653581,37.11379208017407,25419.296986840665,24650.72369577531
36,1995,1,1,0.00189208984375,768.579050821289,37.05263043551069,25419.266406018334,24650.687355197046
37,374,0,0,3.0517578125e-05,767.2096037977157,17.72913185419837,25427.333788581876,24660.12418478416
38,15233,0,0,0.0671844482421875,767.2121243108616,17.703973021458495,25427.321209165508,24660.109084854645
39,1667,0,0,0.0177459716796875,768.2057181867158,14.33639294813236,25425.637419128845,24657.43170094213
40,9472,0,0,0.000732421875,768.3974670404307,12.926729310471153,25424.932587310013,24656.535120269582
41,11,0,0,0.0056610107421875,768.4107280422379,12.63362140404781,25424.786033356802,24656.375305314563
42,892,0,0,0.00103759765625,768.4885137595112,11.192637517401426,25424.065541413478,24655.577027653966
43,646,0,0,0.0003814697265625,768.4955463101934,11.154039859947009,25424.04624258475,24655.550696274557
44,387,0,0,0.061676025390625,768.559804501335,8.555129510499517,25422.746787410026,24654.186982908694
45,2987,0,0,0.0020904541015625,768.9089741883015,5.467445210086842,25421.20294525982,24652.293971071518
46,264,0,0,0.0002593994140625,768.8951824796254,4.754398118250108,25420.8464217139,24651.951239234277
47,220,0,0,0.001007080078125,768.8450872289342,2.9485016284185654,25419.943473468986,24651.098386240054
48,15,0,0,0.018096923828125,768.8455191885699,2.9142188183469266,25419.92633206395,24651.08081287538
