block_size,top_p,completed,budget_exhausted,token_ambiguity,eligible,decode_success,embedding_rate,utilization,utilization_ci95_low,utilization_ci95_high,sampling_atst_s_token,sampling_to_inference_ratio,generation_speed_tokens_s,embedding_speed_bits_s,decoding_speed_bits_s
2,1.0,100,0,26,74,74,1.6377104377104377,0.2724309882858018,0.2690184304105377,0.27585978539636746,0.0009010820845079292,0.03978718848594,42.465323239827654,69.54590311061337,69.87576792969509
4,1.0,100,0,29,71,71,2.647174585324712,0.44282915608497236,0.4370769448705544,0.44857928343094955,0.0008965751716212126,0.039472875625102384,42.3544354179932,112.11958501428845,109.29810290527874
8,1.0,100,0,27,73,73,3.793702497285559,0.6246706818034731,0.6167076621350345,0.6327717724437293,0.0009419396871687737,0.0387277589614226,39.58198165261796,150.16226264304794,149.16073255939804
16,1.0,100,0,26,74,74,4.809359212975273,0.7933280738402879,0.7829422618941175,0.8040040240741678,0.000979333951991528,0.03875062537045839,38.09224828081304,183.19930521226968,177.76268485316376
32,1.0,100,0,28,72,72,5.177867746288799,0.8717630495234774,0.860756316341884,0.8824735443199677,0.0011246910387819492,0.03609432196937508,30.974646561058673,160.38262338120097,154.77539068158214
64,0.8,100,0,4,96,96,3.671929149018098,0.9628121899501572,0.9529013511082894,0.9730922597781162,0.0008399145277538887,0.028268711610676595,32.73137885294902,120.18730409769805,123.32005952473874
64,0.95,100,0,19,81,81,5.031703634885611,0.9528018391290938,0.9407949320320116,0.9648305227443381,0.0007409999815144394,0.03003358485847331,39.349352547422285,197.99428024326008,202.85879040656528
64,1.0,100,0,30,70,70,5.733530917418833,0.943262512208053,0.9297109590896108,0.9567563834424321,0.0008586109457189054,0.04001475682953052,44.810961213826396,256.9250315587298,254.84378333581432
128,1.0,100,0,30,70,70,5.941622733701942,0.9858174831179461,0.9729166740806099,0.9981829361376472,0.0008633636366682837,0.04032794572353801,44.899559688854126,266.7762445805029,264.1442914258312
256,1.0,100,0,39,61,61,5.8664559462662975,0.9727071582452129,0.9587862290078161,0.9865173388964648,0.0010052087687504934,0.03946175868473539,37.766927240091945,221.558014879844,224.59926472181817
512,1.0,97,3,42,55,55,6.180965775902485,0.9893223465067559,0.9758995966116184,1.0030769952244722,0.0010175633869437127,0.039399462466024535,37.251720572982485,230.25160995508725,230.6975622829899
1023,1.0,96,4,47,49,49,6.130243365537483,0.9998185563413726,0.9869388178843066,1.0131861401906792,0.0008965017357393525,0.0404063777502296,43.32073127470817,265.56662548701195,259.1928548561651
